06d08f883a47	Dave (.pl)			
06d460a41ddd	Nexus	The Wild Boys	Dreamzone	
06d6b2b2ea18	Yerzmyey			
06f356cecbef	D-Zire	FUN Industries	Crazy Chippie Compile	
070a347dfde0	Bernard Sumner	FUN Industries	Crazy Chippie Compile	
070fbca44d4c	Excellence in Art	Unique Development Sweden	Obsession	
07102e860f52	Shaft			
071e593c5fb1	Yerzmyey			
0729823df58a	Roz			
07383af31e8e	Lot			
0743dd32e873	Dumbo			
0744b42ee14f	Moonshine			
075163f26e47	Bjoern Lynne	Team 17	Worms	
075be2c3f06e	Bruce			
076333f3ca29	Terminal Silence	Inner Circuit Explorers	Cooler than ever	
076a1c48e4ea	Clawz			
076d35d83f5b	Bartman			
077067ff498e	Ripguy			
077650ba6c3a	Dave (.pl)			
077749b1699e	Sourcer	Pure Energy	Sound Disc 1	
0779f4bcee52	Charon	NATO	Nato Sound demo 2	
077cdb8acac5	Viking	Mind design	Sometimes they come back	
077dd73b50c8	Kenet			
0781611440e9		Pentagon	Radical Race Beta	
078f2e704d16	Nuke	FUN Industries	Crazy Chippie Compile	
079974b20c50	Jean-Baptiste Toutain~Jean-Charles Tartarin	PARX	Multibriques	
07a1e3837631	Tebirod			
07a256f03d2c	Cerror			
07a4eac98715	Phoenix			
07a83a60a65c	D-Force			
07b72643bb36		Oxygene	ATARI Demo ToolChain	
07bfde7932f8	Sighfried			
07cac89f4744	Red Ribbon			
07d6f3de0aab	Charon			
07d8c26a51b0				1996
07dbc438d017	Dizzy Tunes			
07dc49c00b69	Nope Dope	FUN Industries	Crazy Chippie Compile	
07e0b3d838c0	Dr. Awesome	Funvision~NeXT	Rip Dis Megademo	
07fa3d36895e	V16			
07fb487b4761	Teque			
080126a88884	Charon	NATO	Nato Sound demo 2	
08024768ddde	Kenet			
0802a11763e3	Oedipus			
08033eddfb2a		Zeppelin Games	Stack Up	
080ae4327a6d	Jean-Baptiste Toutain~Jean-Charles Tartarin	PARX	Multibriques	
081787057d4b	4Mat	FUN Industries	Crazy Chippie Compile	
081de59ea860	Tyan			
0822964d1a90	V16			
08242c2c390e	Rubbish			
082a7cb91d56	Parazith			
083c188f9b33	Blaizer	Impact~XXXX	My Dog is enjoying Fuzion	
084b2c409d39	Front 6			
08591c0d828e	Simon			
08599f4e219e	Devastator	New Power Generation	Music for the masses vol. II	
0862d7add02c	Matthias Steinwachs	Thalion	No Second prize	
086f68082ff4	505			
0873794c344f	Outzider	Imagina	Systematic Error	
0874561f70c7	Ripguy			
0877252c64eb	Kane Wood			
08810e385cf6	Radioactivator	New Power Generation	Music for the masses vol. VI	
088630172f4f		Fungus T. Bogeyman	Star Wars Digidemo	
088df3654a3f	Barry Leitch	Gremlin Graphics	Harlequin	
0890fcaefcae	Domm	NPG	Boom (final preview)	
0892441bbf5e	Chromex			
08982eb691f1			TCB Tracker Conversions	
089922656f4f	Sonix (.fi)	Vectronix	Sheer Agony Cracktro	
089bd69a8ca7	Front 6	WBW Software	Confusion	
08a0a8d6d7bb	Lynxx			
08a2519ae1ce	Swizzle			
08ab571c7bf5	Rubbish			
08ae37b17e5b	Mr. Future			
08b04a3dc840	Djamm			
08b625f786fb	Ripguy			
08bb1e60b7c7	Rubbish			
08c90acc35d8	Reflex	FUN Industries	Crazy Chippie Compile	
08cbf63260f7	Blue Tiger			
08d0a8b2fae5	Excellence in Art			
08d0d540e17d	Spion			
08d4e949fc63	Teque			
08d5f4b58477	Domm			
08d7723cbabb	White Ninja	Adrenaline	Real Brutal Techno demo 2	
08d9a10c4b01	Dumbo			
08d9b96a79d5	Sir Bart			
08e97409153a	Babydee			
08f5b00c52bb	Blue Tiger			
08fc47264936		Oxygene	Amiga Future Composer Player	
09033dd22cc7	Simon			
091041c8118b	Ripguy			
091335b77424	Dave (.pl)			
09263a6331c1	Demon X	The Wild Boys	Hardcore Dancefloor	
09323896a3a6	Jess		Teddy Bear	
0932e4199310	Moonshine			
09363810a6dc		Falcon owners group	Falcon update digital #7	
093a87b0912a			TCB Tracker Conversions	
093c1a085bf9	Teque			
0944baff3ea9	Martin Kleinhendt	Anvil Soft (Cruor)	Painium Disaster	
09469e6adc97	Sky	M.C.S.	Delirious Demos 3	
094b48432393	X-Ray			
094c414ca9c9	Clawz			
09546b20fbf5	Keo	The Toxic Twins	Moondemo	
0954b54d6811	Vivid			
095ee17899e1	Excellence in Art			
0966c1116287	Tinker	Teenage	Crackman in search for his dealer	
0968e595d730	Matt Furniss	Krisalis	Soccer Kid	
096b973222a3	Connor	The naughty bytes	When hifi dreams become reality	
097736579e27	Raster (.pl)			
09791d6939e4	Dubmood~Zabutom			
097d7577e8f9	Splash			
097e1c04e78b	Kane Wood			
0995bdf11442	Teque			
09977757b889	ST Mixes			
0997c9bea1ce		Dune	Beats Of Rage	
09991038c622	Roz			
099c54f0a3e9	C-Frog			
09a01bb864b7	Quick	Impact	CD Module 4	
09a03bbdba96		Sienera-Multimedia-Mailbox	Sienera Online Interaktiv 2	
09b2f4a150af	4Mat	FUN Industries	Crazy Chippie Compile	
09b4ac303c06	Barry Leitch	Electronic Arts	Zone Warrior	
09be80302b44	Sally			
09c2bad591f6	Charon			
09c2c36813e9	Rib	Bloodhouse	Super Stardust	
09c65502ec1f	AJT			
09cf359fd9b5	Sinis			
09d99939a015	Dumbo			
09dc5b5aaaa4	Shylock the brain			
09e03ccc1cb8			TCB Tracker Conversions	
09e56f3c858f	A. Phy	Trigon Software	Blum	
09ed6974d5cd				1998
09edb85b3283	Sir Bart			
09f297e58914	SH3			
09fb4dcbb1a9	Toodeloo	Dead Hackers Society	X-Mix 1	
0a036cb7eb68	Simon			
0a05dd5fb402	Lee Wright~Tim Wright	Psygnosis	Awesome	
0a1b242052ab	Toovey	Confusions	Amblery	
0a1daabc267b	Kane Wood			
0a2038650759		Imagitec Design	Space Junk (demoversion)	
0a2bd0a381f4	Djamm			
0a2e88b62ab1	D-Zire	FUN Industries	Crazy Chippie Compile	
0a35efa8139b	Dasse			
0a392a441d5a	Rhino			
0a421c290fa0	505	Escape	Hmmm...	
0a4c87f6f096	Dubmood~Zabutom			
0a594b5b1da1				1997
0a610905661c	Jess		Teddy Bear	
0a66ae6b1a8d	Matt Furniss	Krisalis	Soccer Kid	
0a6dfd95968a	Alpha	FUN Industries	Crazy Chippie Compile	
0a6ea25a0e85	Fried			
0a76d5059c26	AJT			
0a787770b584				1997
0a7fbc6a03b2	Fabrice Hautecloque	Silmarils	Ishar 3	
0a9470658999	Fabian	FUN Industries	Crazy Chippie Compile	
0a9b32510867	Charon			
0a9d9e3f8373				1998
0a9fc1088e3a	Badsnail			
0aa5ce9973ed	Mikey			
0aa7e45f0e9d	Gulligul	Dead Hackers Society	Just Musix 2	
0aacfa4883b3	Frequent			
0ab53ef2b8da	Brainwasher			
0ab921171157				1994
0ac624eee6a0	Shazz			
0aca0474d694	Kurt Drubbel	Songbird Productions	Hyper Force	
0aca1390f2c8	Brian Johnston~David Whittaker~Raymond Usher	Psygnosis	Lemmings 2: The Tribes	
0acad310cff6	Michael Scheer~Ralf Katscher	Starbyte Software	Inve$t	
0accedd03a75	Dubmood			
0ad78ede42c4	Cerror			
0ad89b72818b	Jet			
0adb08ecf212	Mantra			
0adb0b4e0687	Ripguy			
0ae16d7f5a64	Tim Bartlett	Thalamus	Creatures	
0ae238623440	C-Frog			
0ae41ba0dd9f	Teque			
0ae46f282667	Moonshine			
0ae4d313e16c	505	Mystic Bytes	Chosneck issue #1	
0af289b570a1	AiO			
0af8b4f8569a	OZ	Persistence of Vision	POV Compact Disc# 131 Intro	
0b00e2ea71fa	505			
0b0b5a92bc9a	Lot	The naughty bytes	When hifi dreams become reality	
0b119788c3c2	Surf			
0b11c6e943af	Nugget	FUN Industries	Crazy Chippie Compile	
0b11dfb802d8		Dune	Beats Of Rage	
0b134ebc79ff	Vivid			
0b19ae5e935b				1995
0b2b74aa1080	Front 6	Front 6	Illusion	
0b303aeeab7c	Scy			
0b3447a52462	Paskud			
0b39c71d8408	Dark Knight	FUN Industries	Crazy Chippie Compile	
0b3ebdb3a3c8		Therapy	Function Main	
0b467344fee7	Simon			
0b4f299b6216	Justin Scharvona	Thalamus	Armalyte	
0b5100c8f712	Iso	Sentry	Nuthouse	
0b5187ca8b4a	Mel	Wild Boys	Digi-Synth 4 Demo	
0b57aef87e98	Xtream	Pascal Ognibene	Tecknoball	
0b5bab4690ea		LJBK	Hextracker V0.825	
0b6452ab8365	Red Ribbon			
0b6652424a0c	Moonshine			
0b6c700cd673		Falk'Asso	Falk'Mag Issue 04	
