0aca43e3a2a4	Mindfuck			
0acfd88300be	Adapting Pulsations	The Party		1995
0ae8a2dfd77a	Egyptian Girl			1990
0aedfecf29e4	Epithal	Assembly		1994
0af3076ac542	Blaizer			
0b0029701720	Andy.finland			
0b0067fb74a8	Solon	Extreme		1995
0b094ae1fb7b	XTD		Starlight	1993
0b0f35ea4bd0	Windy City	The Party		1994
0b10d6fa6390	Arios			
0b11dfb802d8	Braintumour~Heywood	The Party		1993
0b178b63891e	Lizardking	The Party		1992
0b17912e845c	4mat			
0b1def9255e0	Johan Alpmar			
0b1e3718d8cd	BKH~NHP			
0b20c06bee0e	Vince	Dytec		
0b295a137898	Diesel			1995
0b2b280ebe67	Wotw			1993
0b3142924223	Dune			
0b31a5c50400	Clav	Noxious	Chip'n'Dip	1993
0b3b23a30784	Manware			
0b45a328e680	Rymix			1991
0b46bbe8ffb3	Michael	Anathema	Chip Attack	
0b496fce9628	Deelite			
0b4b61fd486e	Virgill			1991
0b5234ad6f1f	Solon	Extreme		1994
0b5a28d948e8	X-Poole	Nuance	Hurt Me #4	
0b5df85f4f91	Facet			
0b771bd85710	Allister Brimble			
0b7fc45e4e13	Max			
0b842b58a9c8	Contrast	Radar^Contrast^Productions		1991
0b923ebf4faf	Vinnie			
0b97c0272cf7	Biboy	IT	Megademo	1989
0b9e2ec68700	Mindfuck			
0ba282683781	Prime~Some1			1993
0baa36b1acd6	Scorpik			1994
0baca77174ff	ARU			1994
0bc1ef96e50c	Strobo			1993
0bc29989cd1c	Omega			
0bc478ef33f8	DJ Horst~Noname	The Party		1995
0bca0e711698		Les Heretiques	SoundDisk 1	
0bcbe5e7d9c2	Mental Floss.usa	20 Minute ChipTune Compo		
0bd327484238	XTD		Infection	1994
0bd3f30f8295	Covert Action Team	Essence		
0bd3f8ae9549		The Jungle Command	Megademo	
0bd99ba95f0f	Marvel	The Party		1994
0bdf3f14db1e	Doc Holiday~Twilight			1994
0be5c2c858a4	Groo			
0be69232536c	Mindfuck			
0bea450c3660	Ginseng			1992
0becbfd1a224	Arpegiator		Drums & Reverbs	
0beda41d1de2	Dreamer	Primavera Party		1995
0bf9e6c5e1b4	Eco			1991
0bfc4675e940	Kookai			1992
0bfedf497521	Moog			1994
0c006cd67613	Chrylian		Surfing on the Jazz Wave	
0c029cd6839f	Erekose~Rhynn	Wired		1995
0c05eda0b49d	Stephane Picq			
0c077f0b9d68	Sidewinder			1994
0c088ee05c8f	Mahoney		Sound of Gnome	
0c0b069cfcef	Moby	Alcatraz	Megademo 4	
0c0c14dd11bf	Nuke			
0c0f37850c7d	Jogeir Liljedahl			1992
0c0f827007a0	Starsoul	Abduction		1995
0c1133ac3338	Absys			1995
0c14f994524a	Gryzor	Dmacon	Tune-Disk 3	1991
0c1b22419b85	Cutcreator			
0c1f97ed473e	Osiris	Syntex	Aluminium	
0c1f981c730d	Woober	Giants	Brain Damage #2	
0c20ee38eb26	Hi-Lite			
0c22e05e1cf1	Gin	Dual Crew Shining		
0c29cfb1a5b7	Erekosë	Analog		
0c2e9f829baa	Magnum Force			
0c346cdc599f	Baroque			1992
0c3e248fb497	TDK			
0c45afe56ac4	Groo		3 seconds of Delight	
0c476a4a1043	Purple Motion			1993
0c55d498ed36	Toni Harkonen			
0c566289943b	Clawz	Interface		1992
0c57308651db	Jogeir Liljedahl			1992
0c584856a4c1	Tatoufo			1994
0c5b4d15c121	Rhino			
0c634970a70e	Jayce			
0c7bac8c7a54	FD			
0c7d00d8719b	4mat			
0c81a3095b3e	Nao			
0c81d74101ff	Snoopy			
0c8956821f40	Jester	Sanity	Roots	
0c95db9ae771	Khyron			1995
0c993aa6624f		Maniacs of Noise		
0c9a606e7aec	Rimbo	pHluid	pHluid MD #1	
0c9b79a65f21	Prime~Some1			1994
0c9b7d182af5	Accord of Gel Dezign	Alchemy		1993
0c9db1d6cd88	Nebula			
0ca1b81638b3	Blaizer~Marillion	The Silents	Blues House	1991
0ca23f1e5914	Dr Awesome		Eurocharts #08	1991
0ca66c1126b5	XTD		Starlight	1992
0cb96afdcdb4	Braintumour~Heywood			1994
0cbc167f0989				1990
0cc4501bbc55	Bernard Sumner	LSD		
0cc5f51d8851	Chromag	Rebels	SwitchBack	
0ccb8b3b7c78	SML	Brainstormers		
0cd7fcbfa6e1	Sparky			
0cdf40888420	Strobo			1991
0ced46167cdb	Moby			
0cefbdb5cb6c	Jogeir Liljedahl		Dizzy Tunes 1	
0cf226e14e48	Sidewinder			1991
0cf9cb822805	Sidewinder			1993
0cfbf2eaf1c4	Gibs			1992
0d00892753d8	Shazz			
0d06d9f2b27b	Moby			
0d0be1d902d0		Quest	Sport Aid '88	1988
0d16c7b4d2b6	Zodiak			1991
0d1e0f35f6b5	Romeo Knight			
0d1f5233ac2a	Otis			1992
0d1f6da14478	Ukulele			
0d2bd8a309b1	HMC			1991
0d31efbfd430	The Zapper	Force Ten		
0d3b97e395c0	Tune TNT			1994
0d3d51faaf0e	TLS	Retire		
0d3e44819096	Jester		Chit-Chat 9	
0d463a79245e	DeadBeat	Zenon		
0d4ae95e7eed	Hardfire	Intense	Chip's #2	1995
0d51698deb0c	Fred	20 Minute ChipTune Compo		
0d58311e31aa	Latyl			
0d5977fed72e	Dr Awesome	DENS Design		
0d5b4292a556	Adamski			
0d5e2f4559fb	Zodiak	Cascada	Hex Appeal	1993
0d5fd1a0ec4e	Mushies			
0d64ddcb786a	Solar			
0d6b6b843ba7	Lizardking		Memorial Songs 2	
0d6e1d957a04	Pink	Abyss		1995
0d6f8d11eff9	Jam~Spoon	Digital Symposium		1995
0d76e7e6a5fe	Sikamikanico	20 Minute ChipTune Compo		
0d7af92d91f8	Watchman	Deathstar		1990
0d7d5c7615ee	Strobo			1994
0d8c122821dd	Rymix			
0d9e5bd1c1eb	TDK			1993
0d9e901384d0	Covert Action Team	Essence		
0d9f40e9f020	Don Cato			
0da241fcf1fc	Allister Brimble			
0da4068a1d9a	Azazel			1994
0da61378d08a	Mellow-D			1992
0da7f11a45ab	Kaktus		Sound of Gnome	
0dad9da821f8	DJ Joge		Digital Disco 2	1991
0daf59db661a	Nao			
0db0f63881ea	Dr Awesome			
0db6e63f58d9	Juice			1994
0dbb308219b4	Corrosion	Degeneration	The Music Duel	
0dbf7c451c62	Baroque			1990
0dcbd0f2500f	Dave	Vacuum		1995
0dd580791e02	Rufferto	Essence		1993
0ddeea1b5aef	Necros			1996
0deb1caea8d6	Pink	Abyss	Dizneeland 5	1994
0df4ee0ee748	Peter Salomonsen			1995
0dfc09ce1034	Allister Brimble			
0dff19d0fd4e	Dr Awesome			
0e04fe1a3583	Axis			
0e0aa5bb8e34	Slice		Phuture Trax 1	1996
0e0b2c9d5bef	Mindfuck			
0e148e50cecf	Echo	LSD		
0e16d65c9b88	Erekosë	Analog		
0e3232d1fc5d	Pye			
0e4597d1604e	Jake			
0e4dac997f2d	Purple Motion			1992
0e4fbc9c59cc	Pat	Scoopex~Share and Enjoy	Megademo	1989
0e51479f2d03	Heatbeat			1993
0e5eab3cf25d	The UnderTaker~The Untold	Tragedy	Fatal Morgana	1993
0e6409978bca	Jester		Chit-Chat 10	1992
0e658b7dac71	Nutcase		UpStream 9	
0e6725750205	Tatoufo			1993
0e6a951e0e6a	Johan Alpmar			
0e6cf59e06da	Codex			
0e73a4b43938	Moby	Impact Inc.	Gen 4	
0e88eeaefd6e	Facet			
0e8a7a2ce442	XTD			1993
0e8e8ab68de0	Fred			
0e93b293b7fc	Jesper Kyd			
0e998a29754d	Ginseng			1993
0e99c7cec627	Allister Brimble			
0e9f1b130f17	Ibanez			1993
0e9fbecd6f71		Digital Artists Inc.	Musicdisk 4	1993
0ea0fd091832	Vocal	The Party		1994
0eaaaf3c1976	Delorean			
0eac05fb9ae3	AMusic	20 Minute ChipTune Compo		
0eaf93556913	Dizzy			
0eafbce8aafc	Tarmslyng	The Party		1995
0ec00b40e5a8	Strobo			1993
0ec24af656bc	Lizard			
0ec390f4910c	Pink	Abyss		1993
0ec7446845f0	Delorean	Vertigo		1991
0ecd7db77293	Lasse Christiansen	The Party		1995
0ed5ce5a14cb	Papa Smurf			
0ed691b75e73	XTD			1993
0ed7f506dc84	Rez			1994
0edc00825ffc	Bc			1995
0edd46fdf181	Hein~Nuke			
0ee4a8c58e88	Mental Floss.usa			1995
0ee7d09a6f58	CDK	The Party		1995
0ee9b61306e2	Pye			1995
0eeaa08789b9	Psynomix			
0eed4e770bf9	Rymix			
0ef1ec645820	Moby			
0ef3aa30cfb7	XIIIM Misstres D.	The Party		1995
0ef90879855b	XTD			1991
0efc7f75604d	Mindfuck			
0f0461307f5c	Strobo			1992
